  24.90000 4.99133E+07 1.86574E+07   0.29461
  25.00000 4.60744E+07 1.73026E+07   0.29259
  25.10000 4.25436E+07 1.60508E+07   0.29058
  25.20000 3.92952E+07 1.48940E+07   0.28858
  25.30000 3.63057E+07 1.38246E+07   0.28659
  25.40000 3.35538E+07 1.28357E+07   0.28460
  25.50000 3.10199E+07 1.19211E+07   0.28262
  25.60000 2.86859E+07 1.10750E+07   0.28065
  25.70000 2.65356E+07 1.02919E+07   0.27868
  25.80000 2.45539E+07 9.56698E+06   0.27672
  25.90000 2.27270E+07 8.89576E+06   0.27478
  26.00000 2.10424E+07 8.27406E+06   0.27283
  26.10000 1.94885E+07 7.69807E+06   0.27090
  26.20000 1.80548E+07 7.16428E+06   0.26897
  26.30000 1.67316E+07 6.66947E+06   0.26705
  26.40000 1.55101E+07 6.21066E+06   0.26514
  26.50000 1.43821E+07 5.78512E+06   0.26324
  26.60000 1.33402E+07 5.39031E+06   0.26134
  26.70000 1.23774E+07 5.02393E+06   0.25945
  26.80000 1.14877E+07 4.68383E+06   0.25757
  26.90000 1.06651E+07 4.36804E+06   0.25570
  27.00000 9.90434E+06 4.07473E+06   0.25383
  27.10000 9.20066E+06 3.80224E+06   0.25198
  27.20000 8.54955E+06 3.54901E+06   0.25013
  27.30000 7.94691E+06 3.31363E+06   0.24828
  27.40000 7.38898E+06 3.09476E+06   0.24645
  27.50000 6.87230E+06 2.89120E+06   0.24462
  27.60000 6.39367E+06 2.70183E+06   0.24280
  27.70000 5.95017E+06 2.52560E+06   0.24099
  27.80000 5.53910E+06 2.36156E+06   0.23918
  27.90000 5.15799E+06 2.20882E+06   0.23738
  28.00000 4.80454E+06 2.06657E+06   0.23560
  28.10000 4.47667E+06 1.93405E+06   0.23381
  28.20000 4.17243E+06 1.81056E+06   0.23204
  28.30000 3.89004E+06 1.69546E+06   0.23027
  28.40000 3.62785E+06 1.58814E+06   0.22851
  28.50000 3.38436E+06 1.48804E+06   0.22676
  28.60000 3.15816E+06 1.39467E+06   0.22502
  28.70000 2.94797E+06 1.30754E+06   0.22328
  28.80000 2.75259E+06 1.22622E+06   0.22155
  28.90000 2.57094E+06 1.15029E+06   0.21983
  29.00000 2.40201E+06 1.07938E+06   0.21812
  29.10000 2.24485E+06 1.01314E+06   0.21641
  29.20000 2.09860E+06 9.51240E+05   0.21471
  29.30000 1.96247E+06 8.93387E+05   0.21302
  29.40000 1.83573E+06 8.39300E+05   0.21134
  29.50000 1.71769E+06 7.88719E+05   0.20966
  29.60000 1.60773E+06 7.41405E+05   0.20799
  29.70000 1.50526E+06 6.97133E+05   0.20633
  29.80000 1.40974E+06 6.55698E+05   0.20468
  29.90000 1.32068E+06 6.16907E+05   0.20304
  30.00000 1.23763E+06 5.80582E+05   0.20140
  30.10000 1.16014E+06 5.46556E+05   0.19977
  30.20000 1.08784E+06 5.14675E+05   0.19814
  30.30000 1.02035E+06 4.84796E+05   0.19653
